ID,Fatal_nonfatal,Time_Season,Time_Weekend,Time_TOD,Flight_DE,Flight_DE_Phase,Flight_Conducted_Under,Pilot_Certificate,Pilot_Airplane Rating,Pilot_Other Aircraft Rating,Pilot_Instrument Rating,Pilot_Instructor Rating,Pilot_Flight_Hours_general,Pilot_Age_general,Pilot_Sex_Female,Pilot_Seat Occupied,Pilot_Restraint Used,Second_Pilot_Instructor,AC_Airworthiness_Normal,AC_Landing Gear_Skid,AC_Airframe_general,AC_Seats_general,AC_Max_Gross_Wt_general,AC_Rated Power_Horsepower_general,AC_Engine_MFR,MF_Wind Speed_knots_general,MF_Altimeter_general,MF_Precipitation and Obscuration,MF_Visibility_miles,MF_Temperature_general,Aircraft Fire
1,0,3,0,0,6,2,0,0,2,0,1,2,5,3,0,1,,1,1,1,4,0,1,2,0,4,5,0,2,2,0
2,0,3,1,0,8,1,3,0,1,0,2,2,1,2,0,1,,2,1,1,3,0,0,1,0,2,4,0,2,3,0
3,1,3,0,0,5,2,4,1,0,0,1,0,5,2,0,1,,0,1,1,0,0,2,3,0,0,4,0,2,2,1
4,0,3,1,1,6,5,2,0,0,0,2,2,,3,0,2,,1,0,1,,1,4,4,2,,2,0,2,2,0
5,0,3,1,0,3,4,1,1,0,0,0,1,4,1,0,0,,1,1,1,,1,2,3,0,5,,0,2,0,0
6,0,3,0,1,8,2,4,1,0,1,1,0,3,1,,2,0,1,1,1,2,0,0,0,0,2,3,0,2,1,0
7,0,3,1,0,6,2,3,0,2,0,0,1,1,3,0,1,,1,1,1,3,1,1,1,0,5,0,0,2,3,0
8,0,3,0,0,8,2,3,2,1,1,2,2,0,0,0,2,,2,1,1,0,1,2,3,0,0,5,0,2,2,0
9,1,3,0,0,6,2,5,0,2,0,0,2,5,4,,2,0,1,1,1,1,3,5,5,2,1,2,0,2,0,0
10,0,3,0,0,4,1,3,3,2,1,2,2,2,3,0,1,,2,1,1,1,1,1,1,0,3,0,0,2,0,0
11,0,3,0,0,6,2,2,0,2,0,1,2,5,5,,0,3,1,0,1,3,0,2,3,0,0,,0,1,,0
12,0,3,1,0,5,3,0,0,2,0,0,2,5,4,0,2,,1,1,1,3,2,5,5,3,3,3,0,2,2,0
13,0,3,0,0,5,2,5,0,1,0,0,2,5,2,0,2,,0,1,1,4,1,5,4,3,4,4,0,2,1,0
14,0,0,0,0,5,1,3,1,2,0,1,0,5,4,0,2,,2,0,1,4,2,4,4,2,2,2,0,2,4,0
15,0,0,0,0,6,2,0,0,1,0,0,2,,4,,,,0,0,1,,0,5,5,0,2,3,0,2,2,0
16,0,0,1,0,4,2,1,1,1,0,0,1,5,3,0,2,,1,0,1,4,3,5,4,2,,2,0,2,6,0
17,0,0,0,0,1,2,4,3,1,0,2,2,0,1,,1,,1,1,1,4,1,1,1,0,4,5,0,2,3,0
18,0,0,1,0,5,2,5,1,2,0,0,0,3,2,,2,1,2,1,1,3,3,4,5,2,3,3,0,2,4,0
19,0,0,0,0,7,5,3,2,1,1,2,2,,1,1,2,,2,1,1,0,2,4,3,2,5,,0,1,,0
20,0,0,0,0,2,2,3,3,1,0,0,2,0,2,,2,,0,1,1,3,0,0,1,0,0,5,,,1,0
21,0,0,0,0,7,5,0,0,2,0,0,2,4,2,0,2,,1,1,1,,3,4,4,2,3,,0,2,3,0
22,0,0,0,0,4,2,4,3,2,0,2,2,3,4,,1,,1,0,1,0,0,1,1,1,3,4,0,2,4,0
23,0,0,0,0,5,0,3,1,2,1,1,0,2,3,,2,,1,1,1,2,0,0,0,0,3,3,0,2,2,0
24,0,0,0,0,4,2,0,0,1,0,2,2,5,3,,2,,1,0,1,4,0,4,4,2,,3,0,1,2,0
25,0,0,1,0,4,2,0,0,0,0,2,2,5,2,0,2,,1,0,1,5,0,3,4,2,5,0,0,2,5,0
26,0,0,1,0,4,2,1,0,0,0,1,2,5,4,0,2,,1,1,1,5,2,5,5,3,0,,,1,,0
27,0,0,1,0,8,4,4,2,1,1,2,2,0,4,0,,,1,0,0,0,0,4,3,1,4,0,0,2,5,0
28,0,0,0,0,6,0,0,1,0,0,0,1,5,5,0,1,,1,0,0,1,1,1,1,0,2,1,,1,5,0
29,0,0,0,0,4,2,0,0,0,0,1,0,5,2,,2,0,1,1,1,3,0,0,0,0,4,0,0,2,1,0
30,0,0,0,0,5,3,4,3,1,0,2,2,1,3,0,2,,1,1,1,1,1,2,3,0,2,,0,2,3,0
31,0,0,1,1,1,2,0,0,2,0,0,2,4,2,,2,,1,1,1,3,1,5,5,2,0,0,1,1,1,0
32,0,0,1,0,2,0,4,0,1,0,2,2,3,4,0,2,,1,1,1,1,0,0,0,0,3,2,0,2,3,0
33,0,0,0,0,8,5,4,0,0,0,1,0,5,4,0,2,,1,1,1,2,0,1,1,0,1,5,0,2,2,0
34,0,0,0,2,4,3,0,0,2,0,0,1,5,3,,2,1,1,0,0,3,3,5,5,1,3,3,0,1,4,0
35,0,0,0,0,0,2,2,1,0,0,0,1,2,2,0,2,,1,0,1,4,0,4,4,2,1,1,0,2,3,0
36,0,0,1,0,8,4,4,1,1,0,0,1,3,1,0,2,,1,1,1,2,0,0,0,0,,,,2,,0
37,0,0,0,0,6,3,0,0,1,0,0,1,3,1,0,2,,1,1,1,5,2,4,4,2,5,0,1,2,5,0
38,0,0,1,0,3,2,2,0,2,0,2,2,4,4,0,2,,1,1,1,,2,4,4,2,5,2,0,2,1,0
39,0,0,0,1,5,2,3,0,0,0,0,2,5,4,0,2,,2,1,1,3,1,5,5,1,3,1,0,2,3,0
